=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 18:04:34 =~=~=~=~=~=~=~=~=~=~=~=
;  -266;  -130;  -113;   +43
 -1863; -3671;  -967;  +385;  +379; +2711
 -1815; -3669; -1126;  +413;  +215; +2696
 -1947; -3609;  -736;  +361;   +39; +2662
 -1946; -3620;  -682;  +386;  -119; +2638
 -2010; -3574;  -926;  +345;  -268; +2618
 -1984; -3598; -1144;  +303;  -364; +2591
 -2095; -3595;  -665;  +270;  -430; +2597
 -2171; -3570;  -541;  +248;  -463; +2587
 -2171; -3538;  -527;  +296;  -455; +2610
 -2219; -3548;  -617;  +277;  -285; +2601
 -2162; -3507;  -583;  +324;   -74; +2577
 -2163; -3536;  -704;  +340;   +33; +2566
 -2329; -3455;  -367;  +358;   +80; +2541
 -2228; -3471;  -383;  +349;   +67; +2512
 -2216; -3480;  -638;  +335;   +45; +2504
 -2227; -3453;  -912;  +316;   +42; +2478
 -2317; -3437;  -688;  +306;   +63; +2472
 -2384; -3398;  -646;  +310;  +104; +2470
 -2347; -3406;  -669;  +364;  +194; +2482
 -2303; -3397;  -779;  +393;  +349; +2489
 -2308; -3378;  -931;  +398;  +520; +2472
 -2302; -3354;  -835;  +378;  +522; +2459
 -2341; -3339;  -864;  +404;  +679; +2444
 -2301; -3340;  -399;  +486;  +813; +2432
 -2268; -3333;  -725;  +472; +1003; +2402
 -2305; -3331;  -768;  +532; +1131; +2398
 -2373; -3360;  -656;  +496; +1269; +2385
 -2335; -3306;  -497;  +531; +1316; +2384
 -2320; -3331;  -533;  +559; +1375; +2397
 -2370; -3289;  -577;  +546; +1413; +2397
 -2318; -3259;  -564;  +546; +1481; +2400
 -2313; -3233;  -731;  +548; +1574; +2367
 -2289; -3206;  -542;  +596; +1678; +2362
 -2350; -3215;  -606;  +647; +1905; +2339
 -2322; -3202;  -680;  +707; +2137; +2328
 -2276; -3213; -1008;  +743; +2280; +2316
 -2325; -3212;  -694;  +742; +2354; +2313
 -2286; -3204;  -627;  +761; +2362; +2309
 -2235; -3194;  -679;  +724; +2187; +2324
 -2144; -3216;  -781;  +657; +1880; +2309
 -2163; -3221;  -852;  +569; +1500; +2290
 -2152; -3174;  -590;  +463; +1121; +2273
 -2116; -3184;  -617;  +421;  +804; +2262
 -2225; -3152;  -591;  +379;  +649; +2235
 -2436; -3109;  -532;  +500; +1238; +2208
 -2447; -3213;  -461;  +590; +1886; +2192
 -2173; -3216;  -649;  +699; +1823; +2198
 -2167; -3288;  -910;  +607; +1633; +2198
 -2265; -3269;  -319;  +580; +1373; +2195
 -2185; -3308; -1069;  +482; +1080; +2190
 -2197; -3302;  -518;  +387;  +760; +2187
 -2095; -3323;  -606;  +353;  +500; +2158
 -2371; -3293;  -161;  +328;  +358; +2124
 -2198; -3300;  -874;  +346;  +201; +2102
 -2141; -3344;  -886;  +304;   +59; +2068
 -2182; -3360;  -546;  +243;    -8; +2044
 -2270; -3349;  -431;  +284;   -52; +2049
 -2380; -3361;  -402;  +212;   -14; +2042
 -2232; -3364;  -283;  +221;  -107; +2060
